IsBadBuy,PurchDate,Auction,VehYear,VehicleAge,Make,Model,Trim,SubModel,Color,Transmission,VehOdo,Nationality,Size,TopThreeAmericanName,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,BYRNO,VehBCost,IsOnlineSale,WarrantyCost
0,11/29/2010,ADESA,2006,4,NISSAN,ALTIMA,Bas,4D SEDAN,GREY,AUTO,61612,TOP LINE ASIAN,MEDIUM,OTHER,6062,7580,10392,11307,7483,8749,11267,12597,20928,8400,0,630
1,12/20/2010,ADESA,2003,7,CHEVROLET,CAVALIER 4C,LS,4D SEDAN LS SPORT,SILVER,AUTO,92537,AMERICAN,COMPACT,GM,1915,2761,4410,5314,0,0,0,,5546,4550,0,1641
0,12/20/2010,ADESA,2005,5,CHEVROLET,CAVALIER 4C,LS,4D SEDAN LS,WHITE,AUTO,86495,AMERICAN,COMPACT,GM,3054,4067,5772,6526,3603,4561,6679,8079,5546,3550,0,1243
0,8/26/2009,ADESA,2007,2,SATURN,ION 2.2L I4 EFI / SF,2,4D SEDAN LEVEL 2,SILVER,AUTO,55844,AMERICAN,MEDIUM,GM,6770,,7812,9092,,7359,6911,8448,20740,5975,0,671
0,8/26/2009,ADESA,2005,4,CHEVROLET,MALIBU 4C 2.2L I4 MP,Cla,4D SEDAN CLASSIC,WHITE,AUTO,88353,AMERICAN,MEDIUM,GM,4521,6046,5383,7030,4972,6367,5870,7376,20740,3340,0,1243
1,8/26/2009,ADESA,2004,5,SATURN,ION 2.2L I4 EFI / SF,2,4D SEDAN LEVEL 2,GREY,AUTO,91888,AMERICAN,MEDIUM,GM,3836,4959,4643,5856,3852,4931,4660,,20740,4140,0,909
0,8/26/2009,ADESA,2006,3,DODGE,STRATUS 4C 2.4L I4 S,SXT,4D SEDAN,GREY,AUTO,49794,AMERICAN,MEDIUM,CHRYSLER,4372,5578,5222,6524,4837,6319,5724,7325,20740,5875,0,834
1,09-02-2009,ADESA,2006,3,DODGE,STRATUS 4C 2.4L I4 S,SXT,4D SEDAN,SILVER,AUTO,60059,AMERICAN,MEDIUM,CHRYSLER,4496,5887,5356,6858,,6141,5618,7132,19619,6295,0,1020
0,9/23/2009,ADESA,2005,4,CHEVROLET,MALIBU 4C 2.2L I4 MP,Cla,4D SEDAN CLASSIC,SILVER,AUTO,78832,AMERICAN,MEDIUM,GM,4054,5648,4878,6600,4054,5648,4878,6600,20740,4140,0,1155
0,9/23/2009,ADESA,2003,6,CHEVROLET,MALIBU V6 3.1L V6 SF,LS,4D SEDAN LS,BLUE,AUTO,66212,AMERICAN,MEDIUM,GM,3219,4524,3977,5386,2555,3618,,4407,20740,4365,0,2198
0,9/30/2009,ADESA,2007,2,CHEVROLET,MALIBU 4C 2.2L I4 MP,LS,4D SEDAN LS,BEIGE,AUTO,72849,AMERICAN,MEDIUM,GM,7113,8115,8182,9264,6487,7691,7506,8806,5546,6035,0,1038
0,2/24/2010,ADESA,2007,3,DODGE,CALIBER,Bas,4D WAGON,RED,AUTO,72232,AMERICAN,MEDIUM,CHRYSLER,7102,,10535,11573,6444,7529,10162,11246,52117,5690,0,920
0,4/28/2010,ADESA,2005,5,NISSAN,ALTIMA,Bas,4D SEDAN,WHITE,AUTO,97627,TOP LINE ASIAN,MEDIUM,OTHER,7149,8406,10713,12242,5948,7453,9301,11044,52117,7100,0,765
0,05-12-2010,ADESA,2006,4,NISSAN,ALTIMA,Bas,4D SEDAN,BLACK,AUTO,62070,TOP LINE ASIAN,MEDIUM,OTHER,8590,10316,12426,13738,7813,9250,11633,13264,20740,8730,0,630
0,05-12-2010,ADESA,2007,3,DODGE,CALIBER,SXT,4D WAGON SXT,GREY,AUTO,60403,AMERICAN,MEDIUM,CHRYSLER,7349,8696,,12215,6965,8310,10779,11785,20740,7210,0,825
0,06-02-2010,ADESA,2001,9,NISSAN,ALTIMA,GXE,4D SEDAN GXE,BLUE,AUTO,90703,TOP LINE ASIAN,MEDIUM,OTHER,3152,4123,5465,7149,2677,3651,5051,6083,52117,3950,0,1065
0,06-09-2010,ADESA,2006,4,NISSAN,ALTIMA,Bas,4D SEDAN,GREEN,AUTO,86204,TOP LINE ASIAN,MEDIUM,OTHER,7933,9576,,13401,7253,8704,10885,12477,52117,7920,0,723
0,7/21/2010,ADESA,2005,5,CHEVROLET,TRAILBLAZER 4WD 6C,LS,4D SUV 4.2L LS,GREEN,AUTO,71965,AMERICAN,MEDIUM SUV,GM,7882,9621,12225,13833,7144,8936,11440,13260,52117,8110,0,1974
0,8/25/2010,ADESA,2004,6,CHEVROLET,MALIBU MAXX V6,LS,4D SEDAN LS,SILVER,AUTO,51122,AMERICAN,MEDIUM,GM,4794,6045,8044,9225,,5767,7972,,52117,6100,0,1003
0,9/29/2010,ADESA,2008,2,DODGE,CALIBER,SE,4D WAGON,SILVER,AUTO,51764,AMERICAN,MEDIUM,CHRYSLER,7621,8574,11642,12466,7394,8561,11399,12675,52117,6760,0,754
0,9/29/2010,ADESA,2003,7,CHEVROLET,CAVALIER 4C,LS,4D SEDAN LS,SILVER,AUTO,74618,AMERICAN,COMPACT,GM,2284,3117,4959,5880,2247,3263,4765,5851,52117,4705,0,1455
0,10/27/2010,ADESA,2004,6,CHEVROLET,TRAILBLAZER 4WD 6C,Nor,4D SUV 4.2L LS,GREY,AUTO,83241,AMERICAN,MEDIUM SUV,GM,5875,7258,10019,11374,5477,6913,9476,11295,52117,6560,0,2152
0,10/27/2010,ADESA,2005,5,CHEVROLET,TRAILBLAZER 4WD 6C,LS,4D SUV 4.2L LS,WHITE,AUTO,71074,AMERICAN,MEDIUM SUV,GM,6824,8283,11193,12640,6522,8126,11242,,52117,8980,0,1974
0,11-03-2010,ADESA,2006,4,CHEVROLET,TRAILBLAZER 4WD 6C,LS,4D SUV 4.2L,GREY,AUTO,69509,AMERICAN,MEDIUM SUV,GM,8997,11030,13302,15249,8725,10932,12665,15028,52117,8870,0,1703
1,8/18/2009,ADESA,2003,6,CHEVROLET,MALIBU V6 3.1L V6 SF,Bas,4D SEDAN,WHITE,AUTO,95298,AMERICAN,MEDIUM,GM,2488,,3187,4270,2488,3491,3187,,99740,4100,0,2939
0,8/25/2009,ADESA,2005,4,CHEVROLET,MALIBU 4C 2.2L I4 MP,Bas,4D SEDAN,BLUE,AUTO,31845,AMERICAN,MEDIUM,GM,,6479,5965,7497,4407,5735,5260,6694,22916,7315,0,702
0,9/29/2009,ADESA,2006,3,CHEVROLET,MALIBU 4C 2.2L I4 MP,LT,4D SEDAN LT,GREY,AUTO,57950,AMERICAN,MEDIUM,GM,6539,7972,7562,9110,6181,7501,9651,10880,99740,6295,0,837
0,10-06-2009,ADESA,2006,3,DODGE,STRATUS 4C 2.4L I4 S,SXT,4D SEDAN,SILVER,AUTO,74428,AMERICAN,MEDIUM,CHRYSLER,4947,6392,5843,7403,3405,4137,6587,7519,99740,6110,0,1155
0,10-06-2009,ADESA,2007,2,SUZUKI,RENO 2.0L I4 EFI,,4D SEDAN,RED,AUTO,65035,OTHER ASIAN,COMPACT,OTHER,4761,5770,5642,6732,4953,6247,5849,7247,99740,4905,0,533
0,10-06-2009,ADESA,2005,4,CHEVROLET,MALIBU 4C 2.2L I4 MP,Cla,4D SEDAN CLASSIC,GREY,AUTO,86421,AMERICAN,MEDIUM,GM,3874,5307,4684,6232,3204,4086,6406,7573,99740,4100,0,1243
0,11-03-2009,ADESA,2007,2,DODGE,CALIBER,SXT,4D WAGON SXT,RED,AUTO,52656,AMERICAN,MEDIUM,CHRYSLER,7431,8950,,10166,7937,9147,11415,12506,1231,6795,1,754
1,1/26/2010,ADESA,2005,5,NISSAN,ALTIMA,Bas,4D SEDAN,GREY,AUTO,70519,TOP LINE ASIAN,MEDIUM,OTHER,5862,7131,9185,10720,5862,7131,9185,10720,1231,7325,1,686
0,03-02-2010,ADESA,2007,3,DODGE,CALIBER,Bas,4D WAGON,SILVER,AUTO,44397,AMERICAN,MEDIUM,CHRYSLER,7254,8412,11259,12354,6800,7818,10414,11431,1231,8510,1,693
0,4/13/2010,ADESA,2005,5,NISSAN,ALTIMA,Bas,4D SEDAN,GREY,AUTO,84150,TOP LINE ASIAN,MEDIUM,OTHER,7026,8193,10445,11874,5948,7453,9301,11044,1231,7525,1,723
0,4/27/2010,ADESA,2006,4,CHEVROLET,MALIBU MAXX V6,LT,4D SEDAN LT,GREEN,AUTO,84728,AMERICAN,MEDIUM,GM,6720,8276,10592,11748,6816,8266,10649,,1231,7325,1,1373
1,05-11-2010,ADESA,2006,4,NISSAN,ALTIMA,Bas,4D SEDAN,WHITE,AUTO,72373,TOP LINE ASIAN,MEDIUM,OTHER,8394,10232,12277,13674,8135,9652,,12685,1231,8035,1,686
0,5/18/2010,ADESA,2005,5,CHEVROLET,CAVALIER 4C,Bas,4D SEDAN,GREY,AUTO,74743,AMERICAN,COMPACT,GM,3048,3994,5938,6721,2606,3477,5788,6771,1231,5125,1,1155
0,5/25/2010,ADESA,2006,4,CHEVROLET,MALIBU MAXX V6,LT,4D SEDAN LT,BLUE,AUTO,67860,AMERICAN,MEDIUM,GM,,7995,10294,11530,5776,7299,9625,11153,1231,6935,1,1118
0,11/18/2010,ADESA,2005,5,CHEVROLET,TRAILBLAZER 4WD 6C,LS,4D SUV 4.2L LS,GOLD,AUTO,89805,AMERICAN,MEDIUM SUV,GM,6763,8520,11092,13184,6729,8465,,12761,20833,7690,0,2152
0,11/23/2010,ADESA,2005,5,CHEVROLET,TRAILBLAZER 4WD 6C,LS,4D SUV 4.2L LS,WHITE,AUTO,56740,AMERICAN,MEDIUM SUV,GM,6931,8616,10986,12860,7277,8837,11405,13567,8655,8725,0,1500
0,12/14/2010,ADESA,2002,8,CHEVROLET,TRAILBLAZER 4WD 6C,LS,4D SUV 4.2L LS,GREEN,AUTO,88344,AMERICAN,MEDIUM SUV,GM,4450,5713,8093,9444,4529,5837,8229,9412,22808,6405,0,2452
0,10/26/2010,ADESA,2004,6,CHEVROLET,TRAILBLAZER 4WD 6C,Nor,4D SUV 4.2L LS,GREY,AUTO,97563,AMERICAN,MEDIUM SUV,GM,5940,7330,10083,11445,6374,7944,,,3453,7835,0,2351
0,03-03-2009,ADESA,2006,3,DODGE,STRATUS 4C 2.4L I4 S,SXT,4D SEDAN SXT,GOLD,AUTO,67007,AMERICAN,MEDIUM,CHRYSLER,5141,6107,6052,7096,5544,6796,6488,7840,8655,5935,0,1020
0,03-03-2009,ADESA,2006,3,SUZUKI,RENO 2.0L I4 EFI,,4D SEDAN,BLUE,AUTO,22500,OTHER ASIAN,COMPACT,OTHER,4676,5426,5550,6360,4883,5866,5774,,8655,4685,0,462
0,03-10-2009,ADESA,2005,4,CHEVROLET,MALIBU 4C 2.2L I4 MP,Cla,4D SEDAN CLASSIC,SILVER,AUTO,81389,AMERICAN,MEDIUM,GM,,,4824,5729,5235,6192,6154,7187,22808,4210,0,1243
0,3/17/2009,ADESA,2004,5,SATURN,ION 2.2L I4 EFI / SF,2,4D SEDAN LEVEL 2,GOLD,AUTO,38368,AMERICAN,MEDIUM,GM,4610,5690,5479,6645,4200,5274,5036,6196,8655,6010,0,582
0,3/17/2009,ADESA,2004,5,CHEVROLET,MALIBU 4C 2.2L I4 MP,Cla,4D SEDAN CLASSIC,WHITE,AUTO,81705,AMERICAN,MEDIUM,GM,3481,4365,4259,5214,3907,5167,,6080,8655,4010,0,1243
1,3/17/2009,ADESA,2006,3,SATURN,ION 2.2L I4 EFI / SF,2,4D SEDAN LEVEL 2,SILVER,AUTO,53366,AMERICAN,MEDIUM,GM,6071,7191,7057,8266,5792,6916,6755,7969,8655,5910,0,671
0,3/24/2009,ADESA,2007,2,CHEVROLET,AVEO 1.6L I4 EFI / M,LS,4D SEDAN LS,ORANGE,AUTO,60205,AMERICAN,COMPACT,GM,6175,7150,7169,8222,5533,6421,6476,7435,20833,5235,0,728
0,3/31/2009,ADESA,2007,2,NISSAN,ALTIMA,Bas,4D SEDAN,RED,AUTO,70975,TOP LINE ASIAN,MEDIUM,OTHER,12331,13639,13817,15230,12058,13314,13523,14879,8655,10765,0,686
0,3/31/2009,ADESA,2005,4,CHEVROLET,MALIBU 4C 2.2L I4 MP,Bas,4D SEDAN,WHITE,AUTO,85199,AMERICAN,MEDIUM,GM,5990,,6969,8358,,,,,8655,5870,0,1113
1,04-07-2009,ADESA,2005,4,CHEVROLET,MALIBU 4C 2.2L I4 MP,Bas,4D SEDAN,BLACK,AUTO,33622,AMERICAN,MEDIUM,GM,4905,6321,5797,7327,4905,6321,5797,7327,20392,6440,0,702
0,04-07-2009,ADESA,2005,4,CHEVROLET,MALIBU 4C 2.2L I4 MP,Bas,4D SEDAN,GOLD,AUTO,43605,AMERICAN,MEDIUM,GM,4905,6321,,7327,4905,6321,5797,7327,20392,6410,0,764
0,04-07-2009,ADESA,2004,5,PONTIAC,GRAND AM 4C 2.2L I4,SE,4D SEDAN SE,BLACK,AUTO,57280,AMERICAN,MEDIUM,GM,3250,4338,4010,5185,,4338,4010,5185,20392,4510,0,1169
0,5/26/2009,ADESA,2007,2,KIA,RONDO V6 2.7L V6 DI,EX,4D WAGON LX,GREY,AUTO,62591,OTHER ASIAN,CROSSOVER,OTHER,7382,,8473,9071,9397,10351,10649,11679,22808,7640,0,728
0,09-08-2010,ADESA,2003,7,CHEVROLET,CAVALIER 4C,LS,4D SEDAN LS,WHITE,AUTO,51889,AMERICAN,COMPACT,GM,2842,3759,5822,6997,2247,3263,4765,5851,20740,4815,0,1220
1,9/15/2010,ADESA,2003,7,NISSAN,ALTIMA,Bas,4D SEDAN S,NOT AVAIL,AUTO,79622,TOP LINE ASIAN,MEDIUM,OTHER,4254,5408,7728,9035,4254,5408,7728,,52646,6640,0,986
0,1/30/2009,ADESA,2004,5,CHEVROLET,MALIBU 4C 2.2L I4 MP,Cla,4D SEDAN CLASSIC,GOLD,AUTO,44680,AMERICAN,MEDIUM,GM,3024,4048,3766,4872,3360,4288,4129,5131,5546,5010,0,834
0,2/20/2009,ADESA,2001,8,MERCURY,SABLE 3.0L V6 EFI DO,LS,4D WAGON LS PREMIUM,GOLD,AUTO,77094,AMERICAN,MEDIUM,FORD,2155,,2827,3550,2505,3215,3205,3972,5546,3000,0,1220
0,3/27/2009,ADESA,2001,8,DODGE,STRATUS 4C 2.4L I4 S,SE,4D SEDAN SE,SILVER,AUTO,73974,AMERICAN,MEDIUM,CHRYSLER,2446,3415,3142,4188,2442,3485,3137,4264,20928,3610,0,1455
1,04-03-2009,ADESA,2004,5,PONTIAC,GRAND AM 4C 2.2L I4,SE,4D SEDAN SE1,RED,AUTO,90818,AMERICAN,MEDIUM,GM,2104,,2772,3499,2104,2777,2772,3499,5546,3910,0,1774
1,4/30/2010,ADESA,2003,7,NISSAN,ALTIMA,Bas,4D SEDAN S,BLUE,AUTO,90067,TOP LINE ASIAN,MEDIUM,OTHER,4725,5827,7556,9196,4661,5726,7554,8965,5546,5535,0,1065
0,5/21/2010,ADESA,2007,3,NISSAN,ALTIMA,Bas,4D SEDAN,BLACK,AUTO,54907,TOP LINE ASIAN,MEDIUM,OTHER,11035,12493,14520,16319,10766,12888,13836,15947,5546,10800,0,588
0,5/21/2010,ADESA,2005,5,NISSAN,ALTIMA,Bas,4D SEDAN,WHITE,AUTO,81478,TOP LINE ASIAN,MEDIUM,OTHER,6362,,9909,11769,6060,7586,9518,11377,5546,7675,0,723
1,06-04-2010,ADESA,2005,5,CHEVROLET,CAVALIER 4C,Bas,2D COUPE,YELLOW,AUTO,74177,AMERICAN,COMPACT,GM,3316,4280,6216,7362,3283,,6121,7397,5546,5735,0,1155
0,6/25/2010,ADESA,2001,9,NISSAN,ALTIMA,GXE,4D SEDAN GXE,WHITE,AUTO,90533,TOP LINE ASIAN,MEDIUM,OTHER,3057,3885,5616,6687,2591,3353,5145,6245,5546,3925,0,1065
0,7/16/2010,ADESA,2005,5,NISSAN,ALTIMA,Bas,4D SEDAN,GOLD,AUTO,89732,TOP LINE ASIAN,MEDIUM,OTHER,5959,6940,9691,10859,5771,7143,9349,10880,5546,7845,0,723
0,08-06-2010,ADESA,2007,3,DODGE,CALIBER,Bas,4D WAGON,SILVER,AUTO,80231,AMERICAN,MEDIUM,CHRYSLER,6642,7981,10292,11341,5726,7035,9759,10787,5546,5865,0,983
0,09-10-2010,ADESA,2004,6,CHEVROLET,MALIBU MAXX V6,LS,4D SEDAN LS,GOLD,AUTO,64617,AMERICAN,MEDIUM,GM,4476,5970,7576,8970,4308,5750,8117,9348,5546,6000,0,1118
0,9/17/2010,ADESA,2007,3,DODGE,CALIBER,SXT,4D WAGON SXT,SILVER,AUTO,65235,AMERICAN,MEDIUM,CHRYSLER,0,0,0,0,6739,,,11741,5546,7545,0,825
0,9/24/2010,ADESA,2005,5,CHEVROLET,MALIBU MAXX V6,LS,4D SEDAN LS,BLUE,AUTO,70592,AMERICAN,MEDIUM,GM,5203,6548,8891,10027,4973,6014,7675,9059,5546,7000,0,1272
0,03-09-2009,ADESA,2002,7,CHEVROLET,MALIBU V6 3.1L V6 SF,Bas,4D SEDAN,WHITE,AUTO,98212,AMERICAN,MEDIUM,GM,2742,3602,3461,4390,2118,3037,2787,3780,5546,3800,0,2939
0,3/23/2009,ADESA,2004,5,CHEVROLET,MALIBU 4C 2.2L I4 MP,Cla,4D SEDAN CLASSIC,GOLD,AUTO,73410,AMERICAN,MEDIUM,GM,3483,4342,4262,5189,,,,,5546,4500,0,1155
1,3/23/2009,ADESA,2006,3,CHEVROLET,MALIBU 4C 2.2L I4 MP,LT,4D SEDAN LT,WHITE,AUTO,72539,AMERICAN,MEDIUM,GM,6469,7548,7487,8652,6487,7317,7506,8402,21973,5300,0,1038
0,3/23/2009,ADESA,2002,7,CHEVROLET,MALIBU V6 3.1L V6 SF,Bas,4D SEDAN,GOLD,AUTO,66332,AMERICAN,MEDIUM,GM,2529,3444,3231,,,3216,3025,,21973,4200,0,2198
0,4/13/2009,ADESA,2004,5,CHEVROLET,MALIBU 4C 2.2L I4 MP,Bas,4D SEDAN,SILVER,AUTO,57979,AMERICAN,MEDIUM,GM,4039,5279,4862,6201,4039,5279,4862,6201,19638,6100,0,837
0,10-05-2009,ADESA,2007,2,SUZUKI,RENO 2.0L I4 EFI,,4D SEDAN,SILVER,AUTO,41040,OTHER ASIAN,COMPACT,OTHER,4761,5770,5642,6732,5173,6121,8470,9488,19638,5100,0,482
0,10-12-2009,ADESA,2006,3,DODGE,STRATUS 4C 2.4L I4 S,SXT,4D SEDAN,SILVER,AUTO,60081,AMERICAN,MEDIUM,CHRYSLER,5152,6550,,7574,4690,5635,7771,9125,19619,5500,0,1020
0,10/26/2009,ADESA,2007,2,SUZUKI,RENO 2.0L I4 EFI,,4D SEDAN,SILVER,AUTO,80247,OTHER ASIAN,COMPACT,OTHER,4708,5825,5585,6791,5173,6121,8470,9488,19638,4200,0,594
0,11-02-2009,ADESA,2003,6,CHEVROLET,CAVALIER 4C,Bas,4D SEDAN,BEIGE,AUTO,63108,AMERICAN,COMPACT,GM,2076,3065,2742,3810,1976,2865,4944,5928,5546,3600,0,1320
0,11-09-2009,ADESA,2003,6,CHEVROLET,CAVALIER 4C,LS,2D COUPE LS,BLUE,AUTO,79767,AMERICAN,COMPACT,GM,2252,3223,2932,3981,2574,3424,6072,,5546,3600,0,1455
0,11-09-2009,ADESA,2006,3,CHEVROLET,MALIBU MAXX V6,LT,4D SEDAN LT,GREEN,AUTO,58196,AMERICAN,MEDIUM,GM,6322,7645,,8757,6329,7533,10486,11501,19638,7000,0,1003
0,11-09-2009,ADESA,2005,4,NISSAN,ALTIMA,Bas,4D SEDAN,GOLD,MANUAL,74706,TOP LINE ASIAN,MEDIUM,OTHER,6270,7616,7272,8725,6240,8031,9959,12316,19638,6400,0,686
1,11-09-2009,ADESA,2003,6,HYUNDAI,SANTA FE 4WD V6,GLS,4D CUV 2.7L GLS,WHITE,AUTO,78089,OTHER ASIAN,MEDIUM SUV,OTHER,,6299,5925,7303,4185,5115,7757,8241,19638,6100,0,1455
0,11/16/2009,ADESA,2007,2,DODGE,CALIBER,SXT,4D WAGON SXT,SILVER,AUTO,48816,AMERICAN,MEDIUM,CHRYSLER,7528,9068,8630,10293,7813,9139,,13042,5546,7200,0,693
0,06-07-2010,ADESA,2007,3,DODGE,CALIBER,Bas,4D WAGON,WHITE,AUTO,58039,AMERICAN,MEDIUM,CHRYSLER,6510,7405,10399,11226,6504,7610,10705,11511,19638,6600,0,754
0,6/14/2010,ADESA,2003,7,GMC,SONOMA PICKUP 2WD V6,SL,REG CAB 4.3L,WHITE,AUTO,80582,AMERICAN,SMALL TRUCK,GM,3733,5172,7107,9846,2382,3159,6285,7019,5546,4600,0,1803
0,7/26/2010,ADESA,2008,2,DODGE,CALIBER,SXT,4D WAGON SXT,SILVER,AUTO,59113,AMERICAN,MEDIUM,CHRYSLER,8619,9846,12107,13333,8229,9138,12210,12941,5546,7600,0,754
0,12/14/2010,ADESA,2004,6,CHEVROLET,MALIBU MAXX V6,LT,4D SEDAN LT,BLUE,AUTO,65533,AMERICAN,MEDIUM,GM,0,0,0,0,4702,6413,7765,9293,22916,6345,0,1118
0,6/16/2009,ADESA,2006,3,CHEVROLET,MALIBU 4C 2.2L I4 MP,LT,4D SEDAN LT,WHITE,AUTO,73623,AMERICAN,MEDIUM,GM,6311,7450,7316,,6311,7450,7316,8546,20740,6035,0,1038
0,8/25/2009,ADESA,2006,3,CHEVROLET,MALIBU 4C 2.2L I4 MP,LT,4D SEDAN LT,SILVER,AUTO,86106,AMERICAN,MEDIUM,GM,6413,7434,7426,8529,5429,6724,,10549,99740,6825,0,1113
0,12-08-2009,ADESA,2007,2,DODGE,CALIBER,Bas,4D WAGON,BLUE,AUTO,50330,AMERICAN,MEDIUM,CHRYSLER,7251,8852,11019,,,8415,11259,,20928,6785,0,754
0,1/19/2010,ADESA,2007,3,DODGE,CALIBER,SXT,4D WAGON SXT,BLUE,AUTO,84785,AMERICAN,MEDIUM,CHRYSLER,7075,8573,10387,11605,,9081,11713,12987,52117,6405,0,983
1,02-02-2010,ADESA,2004,6,CHEVROLET,CAVALIER 4C,Bas,4D SEDAN,BEIGE,AUTO,74458,AMERICAN,COMPACT,GM,,3459,5929,7912,2909,3822,5431,6653,52117,3965,0,1155
0,02-09-2010,ADESA,2007,3,DODGE,CALIBER,Bas,4D WAGON,BLACK,AUTO,55323,AMERICAN,MEDIUM,CHRYSLER,6947,8145,10467,11576,7545,8869,10614,12056,52117,6985,0,754
0,2/16/2010,ADESA,2007,3,DODGE,CALIBER,Bas,4D WAGON,RED,AUTO,78354,AMERICAN,MEDIUM,CHRYSLER,7124,,10989,12108,6356,7541,10312,11419,52117,6885,0,920
0,5/25/2010,ADESA,2006,4,CHEVROLET,TRAILBLAZER 4WD 6C,LS,4D SUV 4.2L,BLUE,AUTO,99126,AMERICAN,MEDIUM SUV,GM,10536,12490,,16050,9242,11479,13549,15637,52117,9310,0,2351
0,06-08-2010,ADESA,2006,4,CHEVROLET,MALIBU MAXX V6,LT,4D SEDAN LT,GREY,AUTO,75388,AMERICAN,MEDIUM,GM,6299,7939,10004,11573,5776,7299,9625,11153,52117,6895,0,1272
1,6/15/2010,ADESA,2005,5,CHEVROLET,TRAILBLAZER 4WD 6C,LS,4D SUV 4.2L LS,GOLD,AUTO,89975,AMERICAN,MEDIUM SUV,GM,7832,9615,12025,13973,7832,9615,12025,13973,19619,7495,0,2152
